benchmark,pair,region,tol_cm,scale_adjust,global_coverage_any,global_weighted_coverage_any,global_missed_pct,total_source_lines
dft_raw_line,DFT->Pred,full,10.0,0.9,0.6186915887850467,0.27790033924405527,0.3813084112149533,65805
dft_raw_line,Pred->DFT,full,10.0,0.9,0.8129767004492738,0.7650466925738535,0.18702329955072616,66997
dft_peak,DFT->Pred,full,10.0,0.9,0.2213857859802493,0.18268211420506686,0.7786142140197507,12354
dft_peak,Pred->DFT,full,10.0,0.9,0.3142661804922516,0.297626742187746,0.6857338195077485,8776
dft_raw_line,DFT->Pred,fingerprint,10.0,0.9,0.6837029685881947,0.4936816128464522,0.3162970314118053,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.9,0.8043905506859007,0.7610127387977917,0.1956094493140993,50882
dft_peak,DFT->Pred,fingerprint,10.0,0.9,0.2800532459553553,0.23179470617810594,0.7199467540446447,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.9,0.3144811858608894,0.29835472417958103,0.6855188141391106,8770
dft_raw_line,DFT->Pred,full,10.0,0.91,0.6129169515994225,0.2912757546854827,0.3870830484005775,65805
dft_raw_line,Pred->DFT,full,10.0,0.91,0.8046306241794964,0.745662293702465,0.19536937582050362,67032
dft_peak,DFT->Pred,full,10.0,0.91,0.22243807673627974,0.18812741384559278,0.7775619232637203,12354
dft_peak,Pred->DFT,full,10.0,0.91,0.3104685048195472,0.29506042137396754,0.6895314951804528,8922
dft_raw_line,DFT->Pred,fingerprint,10.0,0.91,0.676432516396272,0.513534319806558,0.323567483603728,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.91,0.7935007212756833,0.7403168459976288,0.20649927872431673,51298
dft_peak,DFT->Pred,fingerprint,10.0,0.91,0.28138439483923816,0.23834430707957732,0.7186156051607618,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.91,0.3107122826696579,0.29594255365957234,0.6892877173303421,8915
dft_raw_line,DFT->Pred,full,10.0,0.92,0.6191930704353773,0.3053918913698241,0.3808069295646227,65805
dft_raw_line,Pred->DFT,full,10.0,0.92,0.8012109281794321,0.7267788483261246,0.19878907182056793,67056
dft_peak,DFT->Pred,full,10.0,0.92,0.2222761858507366,0.18740343115347935,0.7777238141492634,12354
dft_peak,Pred->DFT,full,10.0,0.92,0.30663564860972636,0.28663807601286245,0.6933643513902736,9027
dft_raw_line,DFT->Pred,fingerprint,10.0,0.92,0.6859898170521229,0.5389400819920798,0.3140101829478771,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.92,0.7887901836691246,0.7202025867165485,0.21120981633087543,51669
dft_peak,DFT->Pred,fingerprint,10.0,0.92,0.2811796027032562,0.23908094507447855,0.7188203972967437,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.92,0.30690763942787447,0.28761612829582806,0.6930923605721255,9019
dft_raw_line,DFT->Pred,full,10.0,0.93,0.6261682242990654,0.3141232339323964,0.3738317757009346,65805
dft_raw_line,Pred->DFT,full,10.0,0.93,0.8073179819658692,0.7365811870841826,0.19268201803413076,67095
dft_peak,DFT->Pred,full,10.0,0.93,0.22599967621822892,0.1868790577952692,0.7740003237817711,12354
dft_peak,Pred->DFT,full,10.0,0.93,0.30818847709631575,0.2908622780210182,0.6918115229036843,9147
dft_raw_line,DFT->Pred,fingerprint,10.0,0.93,0.6962806351397998,0.5574366970337113,0.30371936486020024,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.93,0.7970309405226621,0.7312613131467807,0.2029690594773379,52003
dft_peak,DFT->Pred,fingerprint,10.0,0.93,0.2858898218308417,0.23859729368039975,0.7141101781691583,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.93,0.3085595446584939,0.2917387372598504,0.6914404553415061,9136
dft_raw_line,DFT->Pred,full,10.0,0.9400000000000001,0.6275510979408859,0.3371683144786086,0.3724489020591141,65805
dft_raw_line,Pred->DFT,full,10.0,0.9400000000000001,0.8107906810462968,0.7469218322884784,0.1892093189537032,67132
dft_peak,DFT->Pred,full,10.0,0.9400000000000001,0.2355512384652744,0.2034200231832437,0.7644487615347256,12354
dft_peak,Pred->DFT,full,10.0,0.9400000000000001,0.31808349556565,0.3007923041434018,0.68191650443435,9246
dft_raw_line,DFT->Pred,fingerprint,10.0,0.9400000000000001,0.6993657231618916,0.5921323971505936,0.3006342768381084,46352
