benchmark,pair,region,tol_cm,snr_bin,n_cases,n_cases_with_source,n_cases_with_target,total_source_lines,total_target_lines,total_neighbor_hits,total_matched_1to1,global_coverage_any,global_weighted_coverage_any,mean_case_coverage_any,median_case_coverage_any,mean_case_weighted_coverage_any,median_case_weighted_coverage_any,global_missed_pct,global_weighted_missed_pct,global_precision,global_recall,global_f1,mean_case_precision,mean_case_f1,mean_case_spearman_intensity,matched_line_count,median_abs_dnu_cm,p90_abs_dnu_cm,mean_signed_dnu_cm,median_abs_rel_pct_dnu,mae_log10_ratio
dft_peak,DFT->Pred,fingerprint,5.0,all,512,512,512,9766,9845,1577,905,0.1614785992217899,0.138293273631497,0.15548144111492693,0.15384615384615385,0.138293273631497,0.12290113389528814,0.8385214007782101,0.861706726368503,0.09192483494159472,0.09266844153184518,0.09229514048238234,0.08975473187152155,0.116081341816777,-0.1588845654993515,905,3.0,5.0,-0.3723756906077348,0.2638522427440633,0.4694511315599551
dft_peak,DFT->Pred,fingerprint,6.0,all,512,512,512,9766,9845,1865,1079,0.19096866680319477,0.1652197975826782,0.18445514886025954,0.18518518518518517,0.1652197975826782,0.14828708655969103,0.8090313331968052,0.8347802024173218,0.109598781107161,0.11048535736227728,0.11004028351435419,0.10791039338668794,0.13075742091607132,-0.1320833361649688,1079,3.0,6.0,-0.7126969416126042,0.3259452411994785,0.47325697342704404
dft_peak,DFT->Pred,fingerprint,7.0,all,512,512,512,9766,9845,2137,1228,0.2188203972967438,0.18706158173157253,0.21162805201232882,0.20761494252873564,0.18706158173157253,0.1785869797187775,0.7811796027032563,0.8129384182684275,0.12473336719146776,0.12574237149293468,0.12523583703023816,0.1230427235356197,0.1424142240734274,-0.15587293883823855,1228,4.0,7.0,-0.8257328990228013,0.37188551070986015,0.4708029813932063
dft_peak,DFT->Pred,fingerprint,8.0,all,512,512,512,9766,9845,2395,1375,0.245238582838419,0.20996692654667365,0.2376994236740221,0.23809523809523808,0.20996692654667365,0.2019976319242347,0.754761417161581,0.7900330734533263,0.13966480446927373,0.1407945934876101,0.14022742338483504,0.13713510169153903,0.15582475289294367,-0.14949080331433273,1375,4.0,8.0,-1.0225454545454546,0.4056795131845842,0.4695012662387923
dft_peak,DFT->Pred,fingerprint,9.0,all,512,512,512,9766,9845,2657,1530,0.27206635265205814,0.23496077673057916,0.26390496149974607,0.26666666666666666,0.23496077673057916,0.2307955110697672,0.7279336473479419,0.7650392232694209,0.15540883697308278,0.1566659840262134,0.15603487838458008,0.15291921155735388,0.16886925043453044,-0.13422217371797204,1530,5.0,9.0,-1.1248366013071895,0.46661482633488854,0.4652907907923331
dft_peak,DFT->Pred,fingerprint,10.0,all,512,512,512,9766,9845,2918,1678,0.29879172639770635,0.2574809592492131,0.2900824287644552,0.3,0.2574809592492131,0.25351959290276127,0.7012082736022937,0.7425190407507869,0.17044184865413917,0.17182060208887978,0.1711284483198205,0.16956071092545696,0.1823951156327947,-0.15760122230710466,1678,5.0,9.0,-1.2759237187127532,0.5149425679227004,0.4662092774228257
dft_peak,DFT->Pred,fingerprint,11.0,all,512,512,512,9766,9845,3179,1830,0.3255171001433545,0.28102472805413053,0.3163666447421314,0.32575757575757575,0.28102472805413053,0.2762278292927297,0.6744828998566454,0.7189752719458695,0.18588115794819707,0.18738480442351013,0.186629952577635,0.18512028480225548,0.19505454605885245,-0.12812699755226764,1830,6.0,10.0,-1.3863387978142077,0.5564572522649216,0.4647116734589581
dft_peak,DFT->Pred,fingerprint,12.0,all,512,512,512,9766,9845,3421,1976,0.35029694859717386,0.29907448797922076,0.3399704356711194,0.34698996655518394,0.29907448797922076,0.2948233730027857,0.6497030514028261,0.7009255120207792,0.20071102082275266,0.20233463035019456,0.20151955535158841,0.19975046602581178,0.20696728072145038,-0.13107893472248172,1976,6.0,11.0,-1.4782388663967612,0.5980861244019139,0.46326653696205317
dft_peak,DFT->Pred,fingerprint,13.0,all,512,512,512,9766,9845,3639,2107,0.3726192914192095,0.319573749810866,0.3610552236705268,0.3675438596491228,0.319573749810866,0.3161302947148577,0.6273807085807905,0.680426250189134,0.21401726764855256,0.21574851525701413,0.21487940441588904,0.21326163303366036,0.2200751323832493,-0.1545302299873526,2107,6.0,12.0,-1.491219743711438,0.6410256410256411,0.4597613989794786
dft_peak,DFT->Pred,fingerprint,14.0,all,512,512,512,9766,9845,3865,2229,0.39576080278517306,0.34171825810948336,0.3837399953057454,0.391304347826087,0.34171825810948336,0.3457791256302856,0.6042391972148269,0.6582817418905167,0.22640934484509903,0.2282408355519148,0.22732140125439804,0.22596494352070612,0.23085737082588367,-0.1519285826872413,2229,7.0,13.0,-1.6733961417676089,0.6837606837606838,0.459602941997706
