,0
0,Fc1ccc(cc1)S(=O)(=O)Nc1cc(cnc1Cl)c1ccc2c(c1)sc(n2)NC1CC1
1,N#Cc1ccc(cc1)c1csc(n1)c1ccc(cc1)c1csc(n1)c1ccccc1
2,Fc1cccc(c1)/C=c\1/sc2=NC3=C([C@@H](n2c1=O)c1ccccc1)C(=O)CCC3
3,CNC(=O)c1cnc(cc1Nc1ccccc1S(=O)(=O)C)NC(=O)C(C)C
4,COc1cc(ccc1F)NC(=O)c1c(O)n(c2ccccc2)c(=S)n(c1=O)c1ccccc1
5,Cc1ncc(c(n1)C)C(=O)N1C[C@H]2CC[C@@H]1CN(C2)S(=O)(=O)N(C)C
6,CCN1C(=O)CC[C@@]21CC[C@@H](CC2)NC(=O)NCc1cccnc1
7,COc1ccc(c(c1)OC)Nc1nccc(n1)c1sc(nc1C)OC
8,Fc1ccc(cc1)S(=O)(=O)c1cnc2c(c1c1cccc(c1)Cl)cccc2F
9,CCOc1ccc(cc1NC(=O)c1cccc(c1)C(=O)O)C(=O)NC
10,CN1CCN(CC1)C(=O)c1ccc(cc1)c1nn(/c(=N/C2CCCCC2)/s1)C
11,N[C]1N=C[N]c2c1c(C#CC1CC1)nn2Cc1cc2cccc(c2c(=O)n1c1ccccc1C)C
12,COc1ccc(cc1c1nocn1)C[C@@H]1COCCN1C(=O)c1ccc(cc1n1nccn1)F
13,CN[C@@H]1CCN(C1)c1ccnc(c1)c1cscc1
14,O=C1NC(=O)/C(=C(\O)/C)/C(=O)N1C1CCCCCC1
15,COc1cccc(c1)NC(=O)N1[C@H](CO)[C@H]([C@H]1CNCC(C)C)c1ccccc1
16,Clc1ncc(c(n1)c1ccc(cc1)N(C(=O)c1cc(Cl)c(cc1O)O)Cc1cccc(c1)Cn1ccnc1)C
17,N#Cc1ccc(cc1Cl)NC(=O)COC(=O)Cc1cccs1
18,OC(=O)CCCNC(=O)c1cccc(c1)N
19,Cn1c(nc2c1cccc2)c1cc(C)c2c(c1)n(Cc1cccc3c1ccn3c1ccccc1C(=O)O)c(n2)C
20,COc1cc(/C=C/C(=O)/C=C/c2cccs2)ccc1OCc1nnn(c1)CCCCOc1cc(=O)oc2c1cccc2
21,O=C1CS[C](N1)[N][N][C]1CCC[C@H]1C
22,C[C@H]1[C@@H](OCCCOc2ccc3c(c2)oc(=O)c(c3C)C)O[C@H]2[C@@]34[C@H]1CC[C@H]([C@@H]4CC[C@](O2)(OO3)C)C
23,COc1cc2CCN(Cc2cc1OC)Cc1ccc(cc1)c1ccc(cc1)OCCCOc1nonc1OCc1ccccc1
