epoch,step,split,eval_scope,eval_batches,eval_max_batches,loss,lr,val_mse,val_mse_lo,val_mse_hi,val_mae,val_mae_lo,val_mae_hi,test_mse,test_mse_lo,test_mse_hi,test_mae,test_mae_lo,test_mae_hi
0,20,train,,,,7675014.586322022,1.076923076923077e-05,,,,,,,,,,,,
0,40,train,,,,1254862.9306762696,2e-05,,,,,,,,,,,,
0,60,train,,,,2465079.3635154725,2e-05,,,,,,,,,,,,
0,80,train,,,,961115.6743988037,2e-05,,,,,,,,,,,,
0,100,train,,,,1679082.8352615356,2e-05,,,,,,,,,,,,
0,120,train,,,,1462697.8860534667,2e-05,,,,,,,,,,,,
0,140,train,,,,1087480.3182617188,2e-05,,,,,,,,,,,,
0,160,train,,,,671724.8101547242,2e-05,,,,,,,,,,,,
0,180,train,,,,418277.26332092285,2e-05,,,,,,,,,,,,
0,200,train,,,,801475.6750549317,2e-05,,,,,,,,,,,,
0,200,,step,32,32,,,273.7798156738281,264.6259460449219,282.78912353515625,11.748699188232422,11.570935249328613,11.931061744689941,,,,,,
0,220,train,,,,1053356.0210159302,2e-05,,,,,,,,,,,,
0,240,train,,,,506305.2852607727,2e-05,,,,,,,,,,,,
0,260,train,,,,748468.1516342163,2e-05,,,,,,,,,,,,
0,280,train,,,,736926.7317657471,2e-05,,,,,,,,,,,,
0,300,train,,,,386980.8976753235,2e-05,,,,,,,,,,,,
0,320,train,,,,614015.6877471923,2e-05,,,,,,,,,,,,
0,340,train,,,,270157.5126831055,2e-05,,,,,,,,,,,,
0,360,train,,,,922779.4601715088,2e-05,,,,,,,,,,,,
0,380,train,,,,406797.80049972533,2e-05,,,,,,,,,,,,
0,400,train,,,,866982.3285301209,2e-05,,,,,,,,,,,,
0,400,,step,32,32,,,214.8582763671875,207.6664581298828,221.90093994140625,10.366276741027832,10.20124340057373,10.523903846740723,,,,,,
0,420,train,,,,851000.9256713868,2e-05,,,,,,,,,,,,
0,440,train,,,,758113.7406082153,2e-05,,,,,,,,,,,,
0,460,train,,,,679329.7097206116,2e-05,,,,,,,,,,,,
0,480,train,,,,690967.3732933045,2e-05,,,,,,,,,,,,
0,500,train,,,,511948.00603637693,2e-05,,,,,,,,,,,,
0,520,train,,,,681355.9097450257,2e-05,,,,,,,,,,,,
0,540,train,,,,489214.4322616577,2e-05,,,,,,,,,,,,
0,560,train,,,,1022158.2788543701,2e-05,,,,,,,,,,,,
0,580,train,,,,277482.0687705994,2e-05,,,,,,,,,,,,
0,600,train,,,,631438.6012367249,2e-05,,,,,,,,,,,,
0,600,,step,32,32,,,162.9022216796875,157.4160919189453,168.03817749023438,8.965195655822754,8.827226638793945,9.097030639648438,,,,,,
0,620,train,,,,289659.73200836184,2e-05,,,,,,,,,,,,
0,640,train,,,,170736.0750228882,2e-05,,,,,,,,,,,,
0,660,train,,,,1271716.002633667,2e-05,,,,,,,,,,,,
0,680,train,,,,333782.39061584475,2e-05,,,,,,,,,,,,
0,700,train,,,,417580.66939086915,2e-05,,,,,,,,,,,,
0,720,train,,,,598973.6748222351,2e-05,,,,,,,,,,,,
